GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCPM
Rbm44,1.762,0.3659,0.9539,NotDiff,3.81,-3.597,-0.4125,2.94
Ramp1,4.973,-0.6686,0.6372,NotDiff,-4.271,-4.271,-3.115,0.8322
Ube2f,6.632,0.2675,0.7606,NotDiff,-3.383,-4.271,0.5369,1.765
Scly,3.502,-0.2346,0.9271,NotDiff,2.141,2.91,0.8986,1.366
Klhl30,-4.253,4.176,0.7328,NotDiff,5.367,4.841,1.84,4.024
Fam132b,-1.445,-5.114,0.5696,NotDiff,-4.271,-4.271,-4.271,1.451
Ilkap,6.246,-0.8128,0.3878,NotDiff,-4.271,1.104,-4.271,-4.271
1700020N18Rik,-2.818,-0.5993,0.97,NotDiff,7.913,7.33,6.989,6.8
Hes6,6.037,0.03401,0.9834,NotDiff,1.441,-4.271,-4.271,2.961
Traf3ip1,-2.441,0.8445,0.9507,NotDiff,6.058,5.563,6.837,5.419
Asb1,4.315,-0.2678,0.8879,NotDiff,0.3613,4.263,-0.1869,2.73
Hdac4,4.248,-1.026,0.5355,NotDiff,4.566,4.807,4.761,5.767
Ndufa10,7.717,-0.6024,0.3833,NotDiff,6.607,6.944,6.46,6.518
Myeov2,5.987,-0.8273,0.4046,NotDiff,3.695,3.051,3.523,3.76
Gpc1,4.281,1.244,0.4476,NotDiff,1.499,-4.271,-4.271,-4.271
Dusp28,1.829,-4.749,0.4079,NotDiff,-1.766,-4.271,0.5369,1.736
Rnpepl1,5.482,0.0662,0.9689,NotDiff,6.241,5.404,6.518,6.823
9430060I03Rik,-1.63,2.241,0.8221,NotDiff,-0.1011,-4.271,-4.271,0.9193
Capn10,3.541,0.642,0.7622,NotDiff,5.849,6.261,6.205,5.836
Mterf4,4.206,-1.459,0.385,NotDiff,1.564,-4.271,1.227,-4.271
Pask,1.474,0.1733,0.9834,NotDiff,3.785,4.752,3.789,4.947
Ppp1r7,5.635,0.06476,0.9684,NotDiff,3.588,3.969,4.417,5.031
Hdlbp,5.681,0.272,0.8045,NotDiff,7.412,7.434,7.837,8.187
02. Sep,7.656,0.3488,0.7132,NotDiff,5.916,5.214,6.178,6.643
Stk25,6.276,-0.6509,0.4864,NotDiff,5.123,4.676,3.547,3.79
Thap4,4.697,0.1883,0.9161,NotDiff,3.2,-3.597,4.112,4.45
Atg4b,7.129,-0.04442,0.9708,NotDiff,5.782,5.241,5.265,5.643
Dtymk,6.762,-0.2384,0.7812,NotDiff,-3.76,3.908,1.017,-4.271
Ing5,4.842,0.3583,0.8076,NotDiff,4.168,3.572,2.936,3.508
D2hgdh,3.2,-0.0933,0.9807,NotDiff,3.132,3.928,4.699,5.08
Pdcd1,11.44,0.05351,0.9216,NotDiff,2.579,-0.03366,3.891,-0.3941
Fam174a,5.889,0.2169,0.8387,NotDiff,5.34,6.003,5.861,5.34
St8sia4,5.36,0.875,0.4564,NotDiff,5.936,5.642,5.853,5.296
D1Ertd622e,2.661,-1.031,0.7482,NotDiff,7.315,8.427,6.918,7.964
Ppip5k2,3.398,0.6053,0.7858,NotDiff,6.341,5.525,6.494,6.745
Gin1,3.323,-1.669,0.4817,NotDiff,5.178,4.261,5.201,4.159
Pam,1.893,0.009185,0.9993,NotDiff,7.257,6.931,7.31,7.021
1810006J02Rik,0.31,2.659,0.7167,NotDiff,6.889,6.357,7.048,6.755
Pign,1.665,3.681,0.4898,NotDiff,5.235,4.936,3.682,5.524
2310035C23Rik,3.388,1.159,0.645,NotDiff,2.666,3.708,3.433,3.017
Zcchc2,2.119,1.777,0.7121,NotDiff,11.53,11.39,11.51,11.33
Phlpp1,3.08,-0.8196,0.75,NotDiff,6.065,5.938,5.673,5.883
Bcl2,5.834,0.1448,0.91,NotDiff,5.562,6.111,4.617,5.156
Kdsr,5.189,-0.1793,0.9116,NotDiff,0.8048,3.908,2.843,3.142
Vps4b,7.288,0.6084,0.4142,NotDiff,3.319,4.027,3.745,2.523
